Aeroport,Code_aeroport,Ville,Pays
Baghdad International Airport,BGW,Baghdad,Iraq
Nan Airport,NNT,Nan,Thailand
Roi Et Airport,ROI,Roi Et,Thailand
Buri Ram Airport,BFV,Buri Ram,Thailand
Trat Airport,TDX,Trat,Thailand
Blythe Airport,BLH,Blythe,United States
Al Asad Air Base,IQA,Al Asad,Iraq
Al Taqaddum Air Base,TQD,Al Taqaddum,Iraq
Joint Base Balad,XQC,Al Bakr,Iraq
Diosdado Macapagal International Airport,CRK,Angeles City,Philippines
Sandakan Airport,SDK,Sandakan,Malaysia
Luang Namtha Airport,LXG,Luang Namtha,Laos
Oudomsay Airport,ODY,Muang Xay,Laos
Taoxian Airport,SHE,Shenyang,China
Dongying Shengli Airport,DOY,Dongying,China
John A. Osborne Airport,MNI,Geralds,Montserrat
Petersburg James A Johnson Airport,PSG,Petersburg,United States
Luoyang Airport,LYA,Luoyang,China
Xuzhou Guanyin Airport,XUZ,Xuzhou,China
Magway Airport,MWQ,Magwe,Burma
Kanti Airport,KHM,Khamti,Burma
Lien Khuong Airport,DLI,Dalat,Vietnam
Dong Hoi Airport,VDH,Dong Hoi,Vietnam
Rach Gia Airport,VKG,Rach Gia,Vietnam
Cà Mau Airport,CAH,Ca Mau,Vietnam
Chu Lai International Airport,VCL,Chu Lai,Vietnam
Dong Tac Airport,TBB,Tuy Hoa,Vietnam
Mae Hong Son Airport,PYY,Pai,Thailand
Bol Airport,BWK,Brac,Croatia
Yaoundé Nsimalen International Airport,NSI,Yaounde,Cameroon
Conakry International Airport,CKY,Conakry,Guinea
Aachen-Merzbrück Airport,AAH,Aachen,Germany
Karlsruhe Baden-Baden Airport,FKB,Karlsruhe/Baden-Baden,Germany
Orlando Sanford International Airport,SFB,Sanford,United States
John Murtha Johnstown Cambria County Airport,JST,Johnstown,United States
Lukla Airport,LUA,Lukla,Nepal
Bhojpur Airport,BHP,Bhojpur,Nepal
Lamidanda Airport,LDN,Lamidanda,Nepal
Jomsom Airport,JMO,Jomsom,Nepal
Manang Airport,NGX,Manang,Nepal
Phaplu Airport,PPL,Phaplu,Nepal
Rumjatar Airport,RUM,Rumjatar,Nepal
Tulsipur Airport,DNP,Dang,Nepal
Rukum Chaurjahari Airport,RUK,Rukumkot,Nepal
Jumla Airport,JUM,Jumla,Nepal
Taplejung Airport,TPJ,Taplejung,Nepal
Tumling Tar Airport,TMI,Tumling Tar,Nepal
Surkhet Airport,SKH,Surkhet,Nepal
Simikot Airport,IMK,Simikot,Nepal
Dolpa Airport,DOP,Dolpa,Nepal
Bajhang Airport,BJH,Bajhang,Nepal
Dhangarhi Airport,DHI,Dhangarhi,Nepal
Muan International Airport,MWX,Muan,South Korea
Astypalaia Airport,JTY,Astypalaia,Greece
Ikaria Airport,JIK,Ikaria,Greece
Kalymnos Airport,JKL,Kalymnos,Greece
Milos Airport,MLO,Milos,Greece
Naxos Airport,JNX,Cyclades Islands,Greece
Paros National Airport,PAS,Paros,Greece
Kastelorizo Airport,KZS,Kastelorizo,Greece
Marsa Alam International Airport,RMF,Marsa Alam,Egypt
Weeze Airport,NRN,Weeze,Germany
Francisco B. Reyes Airport,USU,Busuanga,Philippines
Bancasi Airport,BXU,Butuan,Philippines
Dipolog Airport,DPL,Dipolog,Philippines
Laoag International Airport,LAO,Laoag,Philippines
Legazpi City International Airport,LGP,Legazpi,Philippines
Labo Airport,OZC,Ozamis,Philippines
Mactan Cebu International Airport,CEB,Cebu,Philippines
Norden-Norddeich Airport,NOD,Norden,Germany
Juist Airport,JUI,Juist,Germany
Porto Seguro Airport,BPS,Porto Seguro,Brazil
Iguatu Airport,QIG,Iguatu,Brazil
Brigadeiro Lysias Rodrigues Airport,PMW,Palmas,Brazil
Nelson Ribeiro Guimarães Airport,CLV,Caldas Novas,Brazil
Missoula International Airport,MSO,Missoula,United States
Blackall Airport,BKQ,Blackall,Australia
Bundaberg Airport,BDB,Bundaberg,Australia
Grand Canyon National Park Airport,GCN,Grand Canyon,United States
Sugar Land Regional Airport,SGR,Sugar Land,United States
Hayman Island Heliport,\N,Hayman Island,Australia
Centennial Airport,APA,Denver,United States
Clovis Municipal Airport,CVN,Clovis,United States
Fort Stockton Pecos County Airport,FST,Fort Stockton,United States
Las Vegas Municipal Airport,LVS,Las Vegas,United States
West Houston Airport,IWS,Houston,United States
La Junta Municipal Airport,\N,La Junta,United States
Las Cruces International Airport,LRU,Las Cruces,United States
Stephens County Airport,BKD,Breckenridge,United States
Draughon Miller Central Texas Regional Airport,TPL,Temple,United States
Ozona Municipal Airport,OZA,Ozona,United States
Kaadedhdhoo Airport,KDM,Kaadedhdhoo,Maldives
Aklavik/Freddie Carmichael Airport,LAK,Aklavik,Canada
Déline Airport,YWJ,Deline,Canada
Tulita Airport,ZFN,Tulita,Canada
Fort Good Hope Airport,YGH,Fort Good Hope,Canada
Tanna Airport,TAH,Tanna,Vanuatu
Paulatuk (Nora Aliqatchialuk Ruben,YPC,Paulatuk,Canada
El Trompillo Airport,SRZ,Santa Cruz,Bolivia
Juancho E. Yrausquin Airport,SAB,Saba,Netherlands Antilles
Eagle County Regional Airport,EGE,Vail,United States
Stokmarknes Skagen Airport,SKN,Stokmarknes,Norway
Cuyahoga County Airport,CGF,Richmond Heights,United States
Mansfield Lahm Regional Airport,MFD,Mansfield,United States
Columbus Metropolitan Airport,CSG,Columbus,United States
Lawton Fort Sill Regional Airport,LAW,Lawton,United States
Northern Colorado Regional Airport,FNL,Fort Collins,United States
Flagstaff Pulliam Airport,FLG,Flagstaff,United States
Lake Tahoe Airport,TVL,South Lake Tahoe,United States
Joslin Field Magic Valley Regional Airport,TWF,Twin Falls,United States
Martha's Vineyard Airport,MVY,Vineyard Haven MA,United States
Concord Municipal Airport,CON,Concord NH,United States
Groton New London Airport,GON,Groton CT,United States
St Cloud Regional Airport,STC,Saint Cloud,United States
Qinhuangdao Beidaihe Airport,BPE,Bagan,Burma
Golden Triangle Regional Airport,GTR,Columbus Mississippi,United States
Nizhny Novgorod Strigino International Airport,GOJ,Nizhniy Novgorod,Russia
Bowerman Airport,HQM,Hoquiam,United States
Erie International Tom Ridge Field,ERI,Erie,United States
Barnstable Municipal Boardman Polando Field,HYA,Barnstable,United States
San Pedro Airport,SPR,San Pedro,Belize
Sedona Airport,SDX,Sedona,United States
Morgantown Municipal Walter L. Bill Hart Field,MGW,Morgantown,United States
Yeager Airport,CRW,Charleston,United States
Wilkes Barre Scranton International Airport,AVP,Scranton,United States
Bemidji Regional Airport,BJI,Bemidji,United States
Thangool Airport,THG,Biloela,Australia
Fagali'i Airport,FGI,Apia,Samoa
Ballina Byron Gateway Airport,BNK,Ballina Byron Bay,Australia
Hector International Airport,FAR,Fargo,United States
Charles B. Wheeler Downtown Airport,MKC,Kansas City,United States
Ratanakiri Airport,RBE,Ratanakiri,Cambodia
Gillette Campbell County Airport,GCC,Gillette,United States
Bogashevo Airport,TOF,Tomsk,Russia
El Toro Marine Corps Air Station,NZJ,Santa Ana,United States
Phetchabun Airport,PHY,Phetchabun,Thailand
Chumphon Airport,CJM,Chumphon,Thailand
Jiuzhai Huanglong Airport,JZH,Jiuzhaigou,China
Jieyang Chaoshan International Airport,SWA,Shantou,China
Enghien Moisselles Airfield,\N,Enghien-moisselles,France
Cheddi Jagan International Airport,GEO,Georgetown,Guyana
Guarani International Airport,AGT,Ciudad del Este,Paraguay
Eugene F. Correira International Airport,OGL,Georgetown,Guyana
Kaieteur International Airport,KAI,Kaieteur,Guyana
Dunhuang Airport,DNH,Dunhuang,China
Ancona Falconara Airport,AOI,Ancona,Italy
Chamonate Airport,\N,Copiapo,Chile
Taba International Airport,TCP,Taba,Egypt
Edward Bodden Airfield,LYB,Little Cayman,Cayman Islands
Milas Bodrum International Airport,BJV,Bodrum,Turkey
Tabarka 7 Novembre Airport,TBJ,Tabarka,Tunisia
Sabiha Gökçen International Airport,SAW,Istanbul,Turkey
University Park Airport,SCE,State College Pennsylvania,United States
Broome International Airport,BME,Broome,Australia
Newcastle Airport,NTL,Newcastle,Australia
Bakki Airport,\N,Bakki,Iceland
Klagenfurt Airport,KLU,Klagenfurt,Austria
Hammerfest Airport,HFT,Hammerfest,Norway
Valan Airport,HVG,Honningsvag,Norway
Mehamn Airport,MEH,Mehamn,Norway
Vadsø Airport,VDS,Vadsø,Norway
Imam Khomeini International Airport,IKA,Tehran,Iran
Mashhad International Airport,MHD,Mashhad,Iran
Ust-Ilimsk Airport,UIK,Ust Ilimsk,Russia
Key Field,MEI,Meridian,United States
Abraham Lincoln Capital Airport,SPI,Springfield,United States
Cortez Municipal Airport,CEZ,Cortez,United States
Yampa Valley Airport,HDN,Hayden,United States
Gallup Municipal Airport,GUP,Gallup,United States
Liberal Mid-America Regional Airport,LBL,Liberal,United States
Lamar Municipal Airport,LAA,Lamar,United States
Renner Field-Goodland Municipal Airport,GLD,Goodland,United States
Yellowstone Regional Airport,COD,Cody,United States
"Ørsta-Volda Airport, Hovden",HOV,Orsta-Volda,Norway
St. Mary's Airport,ISC,ST MARY\'S,United Kingdom
Springfield Branson National Airport,SGF,Springfield,United States
Narvik Framnes Airport,NVK,Narvik,Norway
Berlevåg Airport,BVG,Berlevag,Norway
"Oslo, Fornebu Airport",FBU,Oslo,Norway
Norilsk-Alykel Airport,NSK,Norilsk,Russia
Anapa Vityazevo Airport,AAQ,Anapa,Russia
Joplin Regional Airport,JLN,Joplin,United States
Lehigh Valley International Airport,ABE,Allentown,United States
Northwest Arkansas Regional Airport,XNA,Bentonville,United States
Atyrau Airport,GUW,Atyrau,Kazakhstan
Kzyl-Orda Southwest Airport,KZO,Kzyl-Orda,Kazakhstan
South Bend Regional Airport,SBN,South Bend,United States
Bykovo Airport,BKA,Moscow,Russia
Talagi Airport,ARH,Arkhangelsk,Russia
Saratov Central Airport,RTW,Saratov,Russia
Novy Urengoy Airport,NUX,Novy Urengoy,Russia
Noyabrsk Airport,NOJ,Noyabrsk,Russia
Aktau Airport,SCO,Aktau,Kazakhstan
Ukhta Airport,UCT,Ukhta,Russia
Usinsk Airport,USK,Usinsk,Russia
Pechora Airport,PEX,Pechora,Russia
Naryan Mar Airport,NNM,Naryan-Mar,Russia
Pskov Airport,PKV,Pskov,Russia
Kogalym International Airport,KGP,Kogalym,Russia
Yemelyanovo Airport,KJA,Krasnoyarsk,Russia
Sary-Arka Airport,KGF,Karaganda,Kazakhstan
Novosibirsk North Airport,\N,Novosibirsk,Russia
Uray Airport,URJ,Uraj,Russia
Ivanovo South Airport,IWA,Ivanovo,Russia
Longjia Airport,CGQ,Changchun,China
Niigata Airport,KIJ,Niigata,Japan
Johnston Atoll Airport,JON,Johnston Island,Johnston Atoll
Smith Field,SMD,Fort Wayne IN,United States
California Redwood Coast-Humboldt County Airport,ACV,Arcata CA,United States
Albert J Ellis Airport,OAJ,Jacksonville NC,United States
Tuscaloosa Regional Airport,TCL,Tuscaloosa AL,United States
Dubuque Regional Airport,DBQ,Dubuque IA,United States
Shun Tak Heliport,HHP,Hong Kong,Hong Kong
Uru Harbour Airport,ATD,Atoifi,Solomon Islands
Gwaunaru'u Airport,AKS,Auki,Solomon Islands
Ballalae Airport,BAS,Ballalae,Solomon Islands
Fera/Maringe Airport,FRE,Fera Island,Solomon Islands
Babanakira Airport,MBU,Mbambanakira,Solomon Islands
Ngorangora Airport,IRA,Kirakira,Solomon Islands
Santa Cruz/Graciosa Bay/Luova Airport,SCZ,Santa Cruz/Graciosa Bay/Luova,Solomon Islands
Munda Airport,MUA,Munda,Solomon Islands
Nusatupe Airport,GZO,Gizo,Solomon Islands
Mono Airport,MNY,Stirling Island,Solomon Islands
Rennell/Tingoa Airport,RNL,Rennell Island,Solomon Islands
Marau Airport,RUS,Marau,Solomon Islands
Suavanao Airport,VAO,Suavanao,Solomon Islands
Kaghau Airport,KGE,Kagau Island,Solomon Islands
Ramata Airport,RBV,Ramata,Solomon Islands
Buka Airport,BUA,Buka Island,Papua New Guinea
Chimbu Airport,CMU,Kundiawa,Papua New Guinea
Daru Airport,DAU,Daru,Papua New Guinea
Gurney Airport,GUR,Gurney,Papua New Guinea
Girua Airport,PNP,Girua,Papua New Guinea
Kimbe Airport,HKN,Hoskins,Papua New Guinea
Kiunga Airport,UNG,Kiunga,Papua New Guinea
Kikori Airport,KRI,Kikori,Papua New Guinea
Kerema Airport,KMA,Kerema,Papua New Guinea
Kavieng Airport,KVG,Kavieng,Papua New Guinea
Mendi Airport,MDU,Mendi,Papua New Guinea
Momote Airport,MAS,Momote,Papua New Guinea
Moro Airport,MXH,Moro,Papua New Guinea
Misima Island Airport,MIS,Misima Island,Papua New Guinea
Tari Airport,TIZ,Tari,Papua New Guinea
Tabubil Airport,TBG,Tabubil,Papua New Guinea
Tokua Airport,RAB,Tokua,Papua New Guinea
Vanimo Airport,VAI,Vanimo,Papua New Guinea
Wapenamanda Airport,WBM,Wapenamanda,Papua New Guinea
Alluitsup Paa Heliport,LLU,Alluitsup Paa,Greenland
Neerlerit Inaat Airport,CNP,Neerlerit Inaat,Greenland
Paamiut Heliport,JFR,Paamiut,Greenland
Qeqertarsuaq Heliport,JGO,Qeqertarsuaq Airport,Greenland
Qaqortoq Heliport,JJU,Qaqortoq,Greenland
Maniitsoq Airport,JSU,Maniitsoq,Greenland
Nanortalik Heliport,JNN,Nanortalik,Greenland
Narsaq Heliport,JNS,Narsaq,Greenland
Qaanaaq Airport,NAQ,Qaanaaq,Greenland
Sisimiut Airport,JHS,Sisimiut,Greenland
Upernavik Airport,JUV,Upernavik,Greenland
Qaarsut Airport,JQA,Uummannaq,Greenland
Grímsey Airport,GRY,Grímsey,Iceland
Thorshofn Airport,THO,Thorshofn,Iceland
Vopnafjörður Airport,VPN,Vopnafjörður,Iceland
Whistler/Green Lake Water Aerodrome,YWS,Whistler,Canada
Anahim Lake Airport,YAA,Anahim Lake,Canada
Williams Harbour Airport,YWM,Williams Harbour,Canada
St. Lewis (Fox Harbour,YFX,St. Lewis,Canada
Port Hope Simpson Airport,YHA,Port Hope Simpson,Canada
Rigolet Airport,YRG,Rigolet,Canada
Colville Lake Airport,YCK,Colville Lake,Canada
Whatì Airport,YLE,Whatì,Canada
Summer Beaver Airport,SUR,Summer Beaver,Canada
Wapekeka Airport,YAX,Angling Lake,Canada
Wunnumin Lake Airport,WNN,Wunnumin Lake,Canada
North Spirit Lake Airport,YNO,North Spirit Lake,Canada
Bearskin Lake Airport,XBE,Bearskin Lake,Canada
Kingfisher Lake Airport,KIF,Kingfisher Lake,Canada
Ogoki Post Airport,YOG,Ogoki Post,Canada
Poplar Hill Airport,YHP,Poplar Hill,Canada
Chisasibi Airport,YKU,Chisasibi,Canada
Tête-à-la-Baleine Airport,ZTB,Tête-à-la-Baleine,Canada
La Tabatière Airport,ZLT,La Tabatière,Canada
Cat Lake Airport,YAC,Cat Lake,Canada
Fort Frances Municipal Airport,YAG,Fort Frances,Canada
Kasabonika Airport,XKS,Kasabonika,Canada
Kangirsuk Airport,YKG,Kangirsuk,Canada
Attawapiskat Airport,YAT,Attawapiskat,Canada
Lac Du Bonnet Airport,\N,Lac Du Bonnet,Canada
Uranium City Airport,YBE,Uranium City,Canada
Lourdes de Blanc Sablon Airport,YBX,Lourdes-De-Blanc-Sablon,Canada
Cartwright Airport,YRF,Cartwright,Canada
Chesterfield Inlet Airport,YCS,Chesterfield Inlet,Canada
Nain Airport,YDP,Nain,Canada
Fort Severn Airport,YER,Fort Severn,Canada
Fort Albany Airport,YFA,Fort Albany,Canada
Fort Hope Airport,YFH,Fort Hope,Canada
Makkovik Airport,YMN,Makkovik,Canada
Texada Gillies Bay Airport,YGB,Texada,Canada
Gods Lake Narrows Airport,YGO,Gods Lake Narrows,Canada
Igloolik Airport,YGT,Igloolik,Canada
Kuujjuarapik Airport,YGW,Kuujjuarapik,Canada
Gillam Airport,YGX,Gillam,Canada
Grise Fiord Airport,YGZ,Grise Fiord,Canada
Quaqtaq Airport,YQC,Quaqtaq,Canada
Vancouver Harbour Water Aerodrome,CXH,Vancouver,Canada
Nemiscau Airport,YNS,Nemiscau,Canada
Hopedale Airport,YHO,Hopedale,Canada
Chevery Airport,YHR,Chevery,Canada
Ivujivik Airport,YIK,Ivujivik,Canada
Island Lake Airport,YIV,Island Lake,Canada
Akulivik Airport,AKV,Akulivik,Canada
Waskaganish Airport,YKQ,Waskaganish,Canada
Aupaluk Airport,YPJ,Aupaluk,Canada
Kimmirut Airport,YLC,Kimmirut,Canada
Lansdowne House Airport,YLH,Lansdowne House,Canada
St Georges Airport,\N,Lutselk'e,Canada
Kangiqsualujjuaq (Georges River,XGR,Kangiqsualujjuaq,Canada
Mary's Harbour Airport,YMH,Mary's Harbour,Canada
Chapais Airport,YMT,Chibougamau,Canada
Umiujaq Airport,YUD,Umiujaq,Canada
Wemindji Airport,YNC,Wemindji,Canada
Norway House Airport,YNE,Norway House,Canada
Points North Landing Airport,YNL,Points North Landing,Canada
Oxford House Airport,YOH,Oxford House,Canada
Inukjuak Airport,YPH,Inukjuak,Canada
Pikangikum Airport,YPM,Pikangikum,Canada
Peawanuck Airport,YPO,Peawanuck,Canada
Powell River Airport,YPW,Powell River,Canada
The Pas Airport,YQD,The Pas,Canada
Nakina Airport,YQN,Nakina,Canada
Rae Lakes Airport,YRA,Gamètì,Canada
Red Lake Airport,YRL,Red Lake,Canada
Stony Rapids Airport,YSF,Stony Rapids,Canada
Sanikiluaq Airport,YSK,Sanikiluaq,Canada
St. Theresa Point Airport,YST,St. Theresa Point,Canada
Big Trout Lake Airport,YTL,Big Trout Lake,Canada
Deer Lake Airport,YVZ,Deer Lake,Canada
Webequie Airport,YWP,Webequie,Canada
Whale Cove Airport,YXN,Whale Cove,Canada
Salluit Airport,YZG,Salluit,Canada
York Landing Airport,ZAC,York Landing,Canada
Ilford Airport,ILF,Ilford,Canada
Bathurst Airport,ZBF,Bathurst,Canada
Eastmain River Airport,ZEM,Eastmain River,Canada
Fond-Du-Lac Airport,ZFD,Fond-Du-Lac,Canada
Gods River Airport,ZGI,Gods River,Canada
Swan River Airport,ZJN,Swan River,Canada
Kashechewan Airport,ZKE,Kashechewan,Canada
Muskrat Dam Airport,MSA,Muskrat Dam,Canada
Masset Airport,ZMT,Masset,Canada
Sachigo Lake Airport,ZPB,Sachigo Lake,Canada
Round Lake (Weagamow Lake,ZRJ,Round Lake,Canada
Sandy Lake Airport,ZSJ,Sandy Lake,Canada
Shamattawa Airport,ZTM,Shamattawa,Canada
Churchill Falls Airport,ZUM,Churchill Falls,Canada
Wollaston Lake Airport,ZWL,Wollaston Lake,Canada
Batna Airport,BLJ,Batna,Algeria
Béchar Boudghene Ben Ali Lotfi Airport,CBH,Béchar,Algeria
Bordj Badji Mokhtar Airport,BMW,Bordj Badji Mokhtar,Algeria
Guemar Airport,ELU,Guemar,Algeria
Kumasi Airport,KMS,Kumasi,Ghana
Heringsdorf Airport,HDF,Heringsdorf,Germany
Heide-Büsum Airport,HEI,Büsum,Germany
Helgoland-Düne Airport,HGL,Helgoland,Germany
Seinäjoki Airport,SJY,Seinäjoki / Ilmajoki,Finland
Nottingham Airport,NQT,Nottingham,United Kingdom
Robin Hood Doncaster Sheffield Airport,DSA,"Doncaster, Sheffield",United Kingdom
Campbeltown Airport,CAL,Campbeltown,United Kingdom
Eday Airport,EOI,Eday,United Kingdom
Fair Isle Airport,FIE,Fair Isle,United Kingdom
North Ronaldsay Airport,NRL,North Ronaldsay,United Kingdom
Papa Westray Airport,PPW,Papa Westray,United Kingdom
Stronsay Airport,SOY,Stronsay,United Kingdom
Sanday Airport,NDY,Sanday,United Kingdom
Lerwick / Tingwall Airport,LWK,Lerwick,United Kingdom
Westray Airport,WRY,Westray,United Kingdom
Land's End Airport,LEQ,Land's End,United Kingdom
Penzance Heliport,PZE,Penzance,United Kingdom
Anglesey Airport,VLY,Angelsey,United Kingdom
Barra Airport,BRR,Barra,United Kingdom
Donegal Airport,CFN,Dongloe,Ireland
Weston Airport,\N,Leixlip,Ireland
Sindal Airport,CNL,Sindal,Denmark
Leknes Airport,LKN,Leknes,Norway
Namsos Høknesøra Airport,OSY,Namsos,Norway
"Mo i Rana Airport, Røssvoll",MQN,Mo i Rana,Norway
"Rørvik Airport, Ryum",RVK,Rørvik,Norway
Røst Airport,RET,Røst,Norway
Sandane Airport (Anda,SDN,Sandane,Norway
Sogndal Airport,SOG,Sogndal,Norway
Svolvær Helle Airport,SVJ,Svolvær,Norway
Sørkjosen Airport,SOJ,Sorkjosen,Norway
"Vardø Airport, Svartnes",VAW,Vardø,Norway
Værøy Heliport,VRY,Værøy,Norway
Bydgoszcz Ignacy Jan Paderewski Airport,BZG,Bydgoszcz,Poland
Łódź Władysław Reymont Airport,LCJ,Lodz,Poland
Åre Östersund Airport,OSD,Östersund,Sweden
Hagfors Airport,HFS,Hagfors,Sweden
Karlstad Airport,KSD,Karlstad,Sweden
Torsby Airport,TYF,Torsby,Sweden
Ängelholm-Helsingborg Airport,AGH,Ängelholm,Sweden
Storuman Airport,SQO,Mohed,Sweden
Hemavan Airport,HMV,Hemavan,Sweden
Ventspils International Airport,VNT,Ventspils,Latvia
Rand Airport,QRA,Johannesburg,South Africa
Kruger Mpumalanga International Airport,MQP,Mpumalanga,South Africa
Malamala Airport,AAM,Malamala,South Africa
Mmabatho International Airport,MBD,Mafeking,South Africa
Ghanzi Airport,GNZ,Ghanzi,Botswana
Orapa Airport,ORP,Orapa,Botswana
Shakawe Airport,SWX,Shakawe,Botswana
Limpopo Valley Airport,TLD,Tuli Lodge,Botswana
Ngot Nzoungou Airport,DIS,Loubomo,Congo (Brazzaville
Chipata Airport,CIP,Chipata,Zambia
Los Alamitos Army Air Field,\N,Solwesi,Zambia
Iconi Airport,YVA,Moroni,Comoros
Antsalova Airport,WAQ,Antsalova,Madagascar
Ankavandra Airport,JVA,Ankavandra,Madagascar
Belo sur Tsiribihina Airport,BMD,Belo sur Tsiribihina,Madagascar
Maintirano Airport,MXT,Maintirano,Madagascar
Morafenobe Airport,TVA,Morafenobe,Madagascar
Tambohorano Airport,WTA,Tambohorano,Madagascar
Tsiroanomandidy Airport,WTS,Tsiroanomandidy,Madagascar
Ambatondrazaka Airport,WAM,Ambatondrazaka,Madagascar
Port Bergé Airport,WPB,Port Bergé,Madagascar
Ambanja Airport,\N,Ambanja,Madagascar
Soalala Airport,DWB,Soalala,Madagascar
Mampikony Airport,WMP,Mampikony,Madagascar
Nasa Shuttle Landing Facility Airport,\N,Tsaratanana,Madagascar
Mandritsara Airport,WMA,Mandritsara,Madagascar
Manja Airport,MJA,Manja,Madagascar
Catumbela Airport,CBT,Catumbela,Angola
Dundo Airport,DUE,Dundo,Angola
Ngjiva Pereira Airport,VPE,Ondjiva,Angola
Namibe Airport,MSZ,Mocamedes,Angola
Koulamoutou Mabimbi Airport,KOU,Koulamoutou,Gabon
Mouilla Ville Airport,MJL,Mouila,Gabon
Tchibanga Airport,TCH,Tchibanga,Gabon
Chimoio Airport,VPY,Chimoio,Mozambique
Sarh Airport,SRH,Sarh,Chad
Club Makokola Airport,CMK,Club Makokola,Malawi
Luderitz Airport,LUD,Luderitz,Namibia
Ondangwa Airport,OND,Ondangwa,Namibia
Oranjemund Airport,OMD,Oranjemund,Namibia
Swakopmund Airport,SWP,Swakopmund,Namibia
Eros Airport,ERS,Windhoek,Namibia
Boma Airport,BOA,Boma,Congo (Kinshasa
Tshimpi Airport,MAT,Matadi,Congo (Kinshasa
Inongo Airport,INO,Inongo,Congo (Kinshasa
Nioki Airport,NIO,Nioki,Congo (Kinshasa
Basango Mboliasa Airport,KRZ,Kiri,Congo (Kinshasa
Basankusu Airport,BSU,Basankusu,Congo (Kinshasa
Tshikapa Airport,TSH,Tshikapa,Congo (Kinshasa
Lodja Airport,LJA,Lodja,Congo (Kinshasa
Ilebo Airport,PFR,Ilebo,Congo (Kinshasa
Outer Skerries Airport,OUK,Outer Skerries,United Kingdom
La Gomera Airport,GMZ,La Gomera,Spain
Sherbro International Airport,BTE,Bonthe,Sierra Leone
Bo Airport,KBS,Bo,Sierra Leone
Kenema Airport,KEN,Kenema,Sierra Leone
Osvaldo Vieira International Airport,OXB,Bissau,Guinea-Bissau
Smara Airport,SMW,Smara,Western Sahara
Dakhla Airport,VIL,Dakhla,Western Sahara
Mogador Airport,ESU,Essadouira,Morocco
Hassan I Airport,EUN,El Aaiún,Western Sahara
Nador International Airport,NDR,El Aroui,Morocco
Praia International Airport,RAI,"Praia, Santiago Island",Cape Verde
São Filipe Airport,SFL,"Sao Filipe, Fogo Island",Cape Verde
Baco Airport,BCO,Baco,Ethiopia
Beica Airport,BEI,Beica,Ethiopia
Combolcha Airport,DSE,Dessie,Ethiopia
Dembidollo Airport,DEM,Dembidollo,Ethiopia
Gode Airport,GDE,Gode,Ethiopia
Gore Airport,GOR,Gore,Ethiopia
Kabri Dehar Airport,ABK,Kabri Dehar,Ethiopia
Mizan Teferi Airport,MTF,Mizan Teferi,Ethiopia
Tippi Airport,TIE,Tippi,Ethiopia
Alula Airport,ALU,Alula,Somalia
Bosaso Airport,BSA,Bosaso,Somalia
Aden Adde International Airport,MGQ,Mogadishu,Somalia
Galcaio Airport,GLK,Galcaio,Somalia
Burao Airport,BUO,Burao,Somalia
El Arish International Airport,AAC,El Arish,Egypt
Assiut International Airport,ATZ,Asyut,Egypt
Amboseli Airport,ASV,Amboseli National Park,Kenya
Lokichoggio Airport,LKG,Lokichoggio,Kenya
Malindi Airport,MYD,Malindi,Kenya
Nanyuki Airport,NYK,Nanyuki,Kenya
Gardabya Airport,SRX,Sirt,Libya
Gamal Abdel Nasser Airport,TOB,Tobruk,Libya
Mitiga Airport,MJI,Tripoli,Libya
La Abraq Airport,LAQ,Al Bayda',Libya
Atbara Airport,ATB,Atbara,Sudan
Nyala Airport,UYL,Nyala,Sudan
Port Sudan New International Airport,PZU,Port Sudan,Sudan
Bukoba Airport,BKZ,Bukoba,Tanzania
Kigoma Airport,TKQ,Kigoma,Tanzania
Lindi Airport,LDI,Lindi,Tanzania
Musoma Airport,MUZ,Musoma,Tanzania
Shinyanga Airport,SHY,Shinyanga,Tanzania
Tabora Airport,TBO,Tabora,Tanzania
Arua Airport,RUA,Arua,Uganda
Gulu Airport,ULU,Gulu,Uganda
Diu Airport,DIU,Diu,India
Aberdeen Regional Airport,ABR,Aberdeen,United States
Southwest Georgia Regional Airport,ABY,Albany,United States
Athens Ben Epps Airport,AHN,Athens,United States
Alamogordo White Sands Regional Airport,ALM,Alamogordo,United States
Waterloo Regional Airport,ALO,Waterloo,United States
Walla Walla Regional Airport,ALW,Walla Walla,United States
Alpena County Regional Airport,APN,Alpena,United States
Watertown Regional Airport,ATY,Watertown,United States
Bradford Regional Airport,BFD,Bradford,United States
Western Neb. Rgnl/William B. Heilig Airport,BFF,Scottsbluff,United States
Raleigh County Memorial Airport,BKW,Beckley,United States
Brunswick Golden Isles Airport,BQK,Brunswick,United States
Southeast Iowa Regional Airport,BRL,Burlington,United States
Jack Mc Namara Field Airport,CEC,Crescent City,United States
Cape Girardeau Regional Airport,CGI,Cape Girardeau,United States
Chippewa County International Airport,CIU,Sault Ste Marie,United States
North Central West Virginia Airport,CKB,Clarksburg,United States
William R Fairchild International Airport,CLM,Port Angeles,United States
Houghton County Memorial Airport,CMX,Hancock,United States
Dodge City Regional Airport,DDC,Dodge City,United States
DuBois Regional Airport,DUJ,Du Bois,United States
Chippewa Valley Regional Airport,EAU,Eau Claire,United States
Elko Regional Airport,EKO,Elko,United States
New Bedford Regional Airport,EWB,New Bedford,United States
Fayetteville Regional Grannis Field,FAY,Fayetteville,United States
Wokal Field Glasgow International Airport,GGW,Glasgow,United States
